Activity on Company Forums,EmployeeLeft,Hired through SMTP,National Origin (code),Negative Review in Past 5 Years,"Survey, Relative, Attitude toward Peers","Survey, Relative, Peer's Average Attitude toward Environment","Survey, Relative, Peer's Average Attitude toward Resources","Survey, Relative, Peer's Average Attitude toward WorkType","Survey, Relative, Peer's Average Attitude toward Workload","Survey, Relative, Peer's Average Review of Employee",University
28.0,0.0,1,6,0,1,4,1,2,2,4,Smolensk Humanitarian University
45.0,1.0,0,7,0,5,5,2,6,4,1,Universitas Negeri Jakarta
36.0,1.0,0,4,1,1,4,1,2,3,6,Kyrgyz National University
41.0,1.0,1,4,0,4,4,1,3,6,5,Americanos College
42.0,1.0,1,3,0,2,5,3,1,4,2,Smolensk Humanitarian University
38.0,0.0,1,3,0,5,5,2,1,6,4,Americanos College
31.0,1.0,0,4,1,2,4,1,2,2,4,Rice University
50.0,0.0,0,3,1,1,6,5,1,5,6,Americanos College
63.0,1.0,1,3,0,5,1,5,3,3,1,Universitas Pasundan
38.0,0.0,0,6,1,1,3,1,3,3,6,Universitas Negeri Jakarta
35.0,0.0,0,6,1,1,2,1,2,1,1,Americanos College
28.0,0.0,1,5,0,1,2,1,1,6,1,University of Commerce Luigi Bocconi
49.0,1.0,0,6,0,1,6,5,2,6,2,University of Commerce Luigi Bocconi
32.0,0.0,0,2,0,1,4,3,2,6,5,Americanos College
39.0,0.0,0,4,1,5,6,2,1,3,4,Kyrgyz National University
31.0,0.0,1,3,0,1,1,1,1,3,3,Smolensk Humanitarian University
48.0,1.0,1,6,1,1,3,1,1,4,2,Universitas Negeri Jakarta
26.0,1.0,1,5,1,1,2,5,1,3,2,Kyrgyz National University
33.0,1.0,0,4,1,1,1,3,2,2,2,Rice University
38.0,1.0,0,1,0,2,6,1,3,3,2,Rice University
24.0,1.0,1,6,0,2,3,5,2,3,4,University of Commerce Luigi Bocconi
41.0,1.0,0,6,1,5,1,2,1,2,5,University of Commerce Luigi Bocconi
32.0,1.0,0,3,1,2,2,4,2,3,1,Smolensk Humanitarian University
36.0,1.0,1,2,0,2,2,1,4,6,5,Americanos College
25.0,1.0,1,4,1,1,2,4,2,5,4,Kyrgyz National University
53.0,1.0,1,5,1,4,5,1,2,2,3,Rice University
28.0,1.0,0,5,1,5,3,1,1,4,5,Universitas Negeri Jakarta
34.0,1.0,0,4,1,3,5,1,2,5,4,Americanos College
37.0,1.0,0,5,0,5,3,1,1,5,1,Americanos College
30.0,1.0,1,7,0,3,6,4,3,6,4,Rice University
38.0,0.0,0,4,0,2,2,4,1,6,2,Rice University
31.0,1.0,1,4,1,5,2,3,5,2,2,Americanos College
45.0,1.0,1,5,1,2,1,1,2,3,6,Kyrgyz National University
25.0,1.0,1,4,1,2,4,3,4,5,3,Universitas Pasundan
33.0,0.0,0,3,0,1,6,1,1,6,5,Smolensk Humanitarian University
45.0,0.0,1,6,0,1,6,2,4,5,4,Smolensk Humanitarian University
35.0,1.0,1,5,1,1,2,1,1,4,1,Americanos College
19.0,1.0,1,7,0,1,5,1,3,3,1,Smolensk Humanitarian University
26.0,1.0,0,5,1,1,4,5,2,5,2,Universitas Negeri Jakarta
25.0,1.0,0,2,0,1,5,2,1,6,4,Americanos College
38.0,0.0,1,5,0,4,2,1,2,3,3,Universitas Negeri Jakarta
38.0,1.0,0,3,1,3,6,1,7,6,3,University of Commerce Luigi Bocconi
25.0,1.0,0,6,1,1,1,5,5,1,1,Americanos College
25.0,0.0,0,6,1,2,4,5,1,2,5,Americanos College
35.0,0.0,1,3,0,1,3,4,1,4,5,Americanos College
24.0,0.0,1,4,1,1,6,4,1,6,3,Universitas Pasundan
28.0,1.0,1,6,1,1,3,4,3,6,3,Smolensk Humanitarian University
26.0,1.0,1,6,0,1,4,1,4,6,2,Kyrgyz National University
29.0,1.0,0,3,0,2,3,1,3,4,4,Smolensk Humanitarian University
38.0,0.0,0,0,1,1,4,5,3,1,4,Rice University
43.0,0.0,1,6,1,1,1,1,1,4,4,University of Commerce Luigi Bocconi
44.0,1.0,0,3,1,1,6,1,1,6,2,Kyrgyz National University
47.0,1.0,0,4,1,2,2,2,1,1,5,Americanos College
37.0,0.0,0,1,1,2,2,1,1,6,4,Rice University
21.0,1.0,0,5,1,3,6,1,5,3,4,Americanos College
35.0,1.0,1,3,1,4,2,5,1,1,1,Americanos College
51.0,1.0,0,5,0,1,2,1,8,3,2,Kyrgyz National University
36.0,0.0,1,5,0,1,5,2,3,3,4,Rice University
34.0,0.0,1,4,0,3,1,4,8,5,5,University of Commerce Luigi Bocconi
46.0,1.0,0,5,0,5,3,3,3,1,1,Smolensk Humanitarian University
27.0,1.0,1,4,0,3,1,1,2,4,2,Rice University
44.0,0.0,1,6,0,1,4,1,4,4,6,Americanos College
40.0,0.0,1,5,0,1,3,1,1,2,3,Smolensk Humanitarian University
29.0,1.0,0,5,1,1,4,4,3,6,5,University of Commerce Luigi Bocconi
24.0,1.0,0,3,0,1,5,5,4,1,4,Kyrgyz National University
36.0,0.0,1,5,1,1,5,1,2,1,6,Smolensk Humanitarian University
42.0,0.0,0,3,1,1,5,3,1,5,1,Universitas Negeri Jakarta
25.0,1.0,0,1,1,1,5,2,1,4,6,University of Commerce Luigi Bocconi
12.0,1.0,0,5,0,4,2,5,4,3,4,Americanos College
19.0,1.0,1,4,1,2,1,1,3,1,3,University of Commerce Luigi Bocconi
41.0,1.0,1,5,1,1,1,5,3,1,1,Smolensk Humanitarian University
38.0,0.0,1,4,1,5,5,5,2,6,4,Americanos College
20.0,0.0,0,5,1,3,4,1,1,4,5,Universitas Negeri Jakarta
41.0,1.0,0,6,0,1,2,1,8,6,6,Americanos College
31.0,1.0,1,5,0,1,5,1,4,6,6,University of Commerce Luigi Bocconi
24.0,0.0,1,3,0,1,4,1,1,3,4,Smolensk Humanitarian University
28.0,1.0,0,6,1,2,4,1,1,6,2,University of Commerce Luigi Bocconi
26.0,0.0,1,4,0,4,4,3,2,5,5,Universitas Negeri Jakarta
21.0,1.0,1,1,0,2,6,5,7,6,2,Universitas Negeri Jakarta
20.0,0.0,1,5,1,1,3,4,1,5,6,Americanos College
23.0,1.0,0,7,0,2,1,1,1,6,5,Kyrgyz National University
33.0,1.0,1,4,1,1,1,2,2,2,6,Kyrgyz National University
26.0,1.0,0,4,0,1,1,1,2,4,3,Kyrgyz National University
14.0,0.0,1,2,0,1,6,3,1,2,6,Kyrgyz National University
24.0,1.0,0,4,1,4,2,1,1,3,3,Kyrgyz National University
24.0,1.0,1,5,1,1,5,4,1,5,5,Universitas Pasundan
27.0,1.0,0,4,0,5,2,5,1,2,2,Americanos College
30.0,0.0,0,6,1,2,2,5,3,3,3,Smolensk Humanitarian University
41.0,0.0,0,6,0,2,2,3,1,2,1,Smolensk Humanitarian University
29.0,1.0,0,6,1,1,2,2,2,4,3,Rice University
23.0,0.0,1,4,0,2,6,2,1,3,6,Universitas Negeri Jakarta
42.0,0.0,1,1,1,5,4,3,7,3,2,University of Commerce Luigi Bocconi
43.0,0.0,0,3,0,1,2,1,2,6,4,Americanos College
17.0,1.0,0,6,1,3,6,5,2,4,4,University of Commerce Luigi Bocconi
25.0,0.0,0,3,0,2,2,2,1,2,1,Kyrgyz National University
30.0,0.0,0,5,1,5,3,3,5,1,5,Americanos College
21.0,0.0,0,0,0,2,4,3,3,5,4,Universitas Pasundan
39.0,1.0,1,6,0,2,1,1,2,5,2,University of Commerce Luigi Bocconi
38.0,0.0,0,4,0,1,3,2,1,4,2,Americanos College
33.0,0.0,1,3,1,1,6,1,2,4,6,Universitas Negeri Jakarta
33.0,0.0,0,1,1,5,4,3,1,6,3,Rice University
36.0,1.0,1,5,1,1,5,5,6,5,3,Kyrgyz National University
36.0,0.0,1,5,0,1,6,1,3,5,2,Universitas Negeri Jakarta
39.0,0.0,1,3,1,1,6,2,1,6,6,Smolensk Humanitarian University
